diocese,oa_2022_code,oa_in_dio
Aberdeen and Orkney,S00138895,1e-5
Aberdeen and Orkney,S00163875,1e-5
Aberdeen and Orkney,S00165966,1e-5
Aberdeen and Orkney,S00139383,9e-5
Aberdeen and Orkney,S00166237,1e-4
Aberdeen and Orkney,S00166356,1.4e-4
Aberdeen and Orkney,S00139384,2e-4
Aberdeen and Orkney,S00166241,2e-4
Aberdeen and Orkney,S00139385,2.1e-4
Aberdeen and Orkney,S00170788,2.8e-4
Aberdeen and Orkney,S00163896,3.5e-4
Aberdeen and Orkney,S00139040,3.6e-4
Aberdeen and Orkney,S00166360,4e-4
Aberdeen and Orkney,S00138899,4.1e-4
Aberdeen and Orkney,S00163889,4.7e-4
Aberdeen and Orkney,S00139382,4.8e-4
Aberdeen and Orkney,S00166204,4.9e-4
Aberdeen and Orkney,S00138887,0.00101
Aberdeen and Orkney,S00166364,0.00122
Aberdeen and Orkney,S00139004,0.00161
Aberdeen and Orkney,S00166294,0.00192
Aberdeen and Orkney,S00137990,0.00197
Aberdeen and Orkney,S00137626,0.00202
Aberdeen and Orkney,S00138897,0.00218
Aberdeen and Orkney,S00138891,0.00249
Aberdeen and Orkney,S00170789,0.00293
Aberdeen and Orkney,S00138129,0.00294
Aberdeen and Orkney,S00138873,0.00341
Aberdeen and Orkney,S00139307,0.00356
Aberdeen and Orkney,S00138862,0.00358
Aberdeen and Orkney,S00138881,0.00474
Aberdeen and Orkney,S00138027,0.0072
Aberdeen and Orkney,S00137642,0.00783
Aberdeen and Orkney,S00138111,0.00835
Aberdeen and Orkney,S00137622,0.0164
Aberdeen and Orkney,S00137876,0.01761
Aberdeen and Orkney,S00138303,0.0271
Aberdeen and Orkney,S00139098,0.04744
Aberdeen and Orkney,S00138914,0.05514
Aberdeen and Orkney,S00137624,0.05772
Aberdeen and Orkney,S00138287,0.06607
Aberdeen and Orkney,S00137623,0.07361
Aberdeen and Orkney,S00137634,0.11184
Aberdeen and Orkney,S00137628,0.33179
Aberdeen and Orkney,S00137621,0.48114
Aberdeen and Orkney,S00139153,0.49011
Aberdeen and Orkney,S00137969,0.57583
Aberdeen and Orkney,S00174774,0.79139
Aberdeen and Orkney,S00165718,0.79172
Aberdeen and Orkney,S00137886,0.82686
Aberdeen and Orkney,S00137434,0.83319
Aberdeen and Orkney,S00137902,0.83889
Aberdeen and Orkney,S00139113,0.8424
Aberdeen and Orkney,S00137442,0.85081
Aberdeen and Orkney,S00137847,0.85138
Aberdeen and Orkney,S00174720,0.87034
Aberdeen and Orkney,S00174847,0.87388
Aberdeen and Orkney,S00170671,0.88881
Aberdeen and Orkney,S00174854,0.89207
Aberdeen and Orkney,S00165687,0.89235
Aberdeen and Orkney,S00170759,0.89255
Aberdeen and Orkney,S00165714,0.89749
Aberdeen and Orkney,S00137278,0.90599
Aberdeen and Orkney,S00137984,0.91069
Aberdeen and Orkney,S00138238,0.91602
Aberdeen and Orkney,S00137448,0.91636
Aberdeen and Orkney,S00165675,0.9306
Aberdeen and Orkney,S00174808,0.93126
Aberdeen and Orkney,S00174771,0.9315
Aberdeen and Orkney,S00137764,0.93351
Aberdeen and Orkney,S00137968,0.93449
Aberdeen and Orkney,S00165716,0.93506
Aberdeen and Orkney,S00174810,0.93587
Aberdeen and Orkney,S00137797,0.93637
Aberdeen and Orkney,S00174813,0.93857
Aberdeen and Orkney,S00137401,0.93876
Aberdeen and Orkney,S00165670,0.9395
Aberdeen and Orkney,S00137443,0.94105
Aberdeen and Orkney,S00137273,0.94346
Aberdeen and Orkney,S00137948,0.94507
Aberdeen and Orkney,S00174859,0.94741
Aberdeen and Orkney,S00137754,0.94825
Aberdeen and Orkney,S00170749,0.9492
Aberdeen and Orkney,S00165661,0.9493
Aberdeen and Orkney,S00174812,0.94966
Aberdeen and Orkney,S00137350,0.95037
Aberdeen and Orkney,S00165702,0.95193
Aberdeen and Orkney,S00174882,0.9521
Aberdeen and Orkney,S00137292,0.95214
Aberdeen and Orkney,S00174769,0.95264
Aberdeen and Orkney,S00137274,0.95415
Aberdeen and Orkney,S00170745,0.95493
Aberdeen and Orkney,S00137802,0.95543
Aberdeen and Orkney,S00174871,0.95619
Aberdeen and Orkney,S00165793,0.95748
Aberdeen and Orkney,S00137272,0.95772
Aberdeen and Orkney,S00137108,0.95793
Aberdeen and Orkney,S00170616,0.95823
Aberdeen and Orkney,S00137424,0.95946
Aberdeen and Orkney,S00137807,0.96003
Aberdeen and Orkney,S00170777,0.96106
Aberdeen and Orkney,S00174880,0.96155
Aberdeen and Orkney,S00137773,0.96161
Aberdeen and Orkney,S00170728,0.96163
Aberdeen and Orkney,S00174815,0.96179
Aberdeen and Orkney,S00174694,0.96221
Aberdeen and Orkney,S00170617,0.96405
Aberdeen and Orkney,S00170672,0.96446
Aberdeen and Orkney,S00174828,0.96465
Aberdeen and Orkney,S00174734,0.96487
Aberdeen and Orkney,S00137407,0.96499
Aberdeen and Orkney,S00165696,0.96545
Aberdeen and Orkney,S00174868,0.96559
Aberdeen and Orkney,S00174799,0.96851
Aberdeen and Orkney,S00137632,0.9704
Aberdeen and Orkney,S00137368,0.97101
Aberdeen and Orkney,S00137830,0.97123
Aberdeen and Orkney,S00139109,0.97163
Aberdeen and Orkney,S00170659,0.97164
Aberdeen and Orkney,S00170607,0.97174
Aberdeen and Orkney,S00170605,0.97199
Aberdeen and Orkney,S00174732,0.97237
Aberdeen and Orkney,S00165795,0.97239
Aberdeen and Orkney,S00137947,0.97267
Aberdeen and Orkney,S00174844,0.97307
Aberdeen and Orkney,S00174851,0.97309
Aberdeen and Orkney,S00170772,0.97311
Aberdeen and Orkney,S00137275,0.97363
Aberdeen and Orkney,S00170609,0.97382
Aberdeen and Orkney,S00170613,0.97414
Aberdeen and Orkney,S00170771,0.97455
Aberdeen and Orkney,S00170626,0.97495
Aberdeen and Orkney,S00137533,0.97504
Aberdeen and Orkney,S00174855,0.97505
Aberdeen and Orkney,S00170601,0.97521
Aberdeen and Orkney,S00174716,0.97544
Aberdeen and Orkney,S00170608,0.9757
Aberdeen and Orkney,S00174814,0.97587
Aberdeen and Orkney,S00174845,0.97606
Aberdeen and Orkney,S00137445,0.97624
Aberdeen and Orkney,S00137878,0.97648
Aberdeen and Orkney,S00137211,0.9765
Aberdeen and Orkney,S00138034,0.97655
Aberdeen and Orkney,S00174748,0.97655
Aberdeen and Orkney,S00174860,0.97813
Aberdeen and Orkney,S00174739,0.97817
Aberdeen and Orkney,S00170634,0.97892
Aberdeen and Orkney,S00170610,0.97893
Aberdeen and Orkney,S00137986,0.979
Aberdeen and Orkney,S00138150,0.97909
Aberdeen and Orkney,S00174866,0.97922
Aberdeen and Orkney,S00174869,0.97931
Aberdeen and Orkney,S00137539,0.97935
Aberdeen and Orkney,S00170787,0.97938
Aberdeen and Orkney,S00174708,0.97954
Aberdeen and Orkney,S00137238,0.97963
Aberdeen and Orkney,S00170747,0.97965
Aberdeen and Orkney,S00165809,0.97995
Aberdeen and Orkney,S00170767,0.98002
Aberdeen and Orkney,S00137347,0.98003
Aberdeen and Orkney,S00170612,0.98013
Aberdeen and Orkney,S00174782,0.98013
Aberdeen and Orkney,S00170602,0.9806
Aberdeen and Orkney,S00139106,0.98101
Aberdeen and Orkney,S00165699,0.98114
Aberdeen and Orkney,S00174858,0.98119
Aberdeen and Orkney,S00137478,0.9812
Aberdeen and Orkney,S00139065,0.98141
Aberdeen and Orkney,S00170652,0.98223
Aberdeen and Orkney,S00174713,0.98291
Aberdeen and Orkney,S00174850,0.98305
Aberdeen and Orkney,S00170600,0.98321
Aberdeen and Orkney,S00137896,0.9833
Aberdeen and Orkney,S00137789,0.98331
Aberdeen and Orkney,S00174763,0.98335
Aberdeen and Orkney,S00174731,0.98345
Aberdeen and Orkney,S00165709,0.98356
Aberdeen and Orkney,S00170603,0.98387
Aberdeen and Orkney,S00170606,0.98419
Aberdeen and Orkney,S00170786,0.98427
Aberdeen and Orkney,S00170774,0.98432
Aberdeen and Orkney,S00170661,0.98451
Aberdeen and Orkney,S00170624,0.98453
Aberdeen and Orkney,S00174740,0.98495
Aberdeen and Orkney,S00174857,0.98506
Aberdeen and Orkney,S00170677,0.98543
Aberdeen and Orkney,S00137756,0.98547
Aberdeen and Orkney,S00174761,0.98573
Aberdeen and Orkney,S00170770,0.98579
Aberdeen and Orkney,S00174696,0.98579
Aberdeen and Orkney,S00170783,0.98586
Aberdeen and Orkney,S00170649,0.98609
Aberdeen and Orkney,S00137279,0.98621
Aberdeen and Orkney,S00174747,0.98638
Aberdeen and Orkney,S00174700,0.98642
Aberdeen and Orkney,S00174704,0.98659
Aberdeen and Orkney,S00174836,0.98703
Aberdeen and Orkney,S00137280,0.98704
Aberdeen and Orkney,S00138957,0.98717
Aberdeen and Orkney,S00174879,0.98723
Aberdeen and Orkney,S00174730,0.98752
Aberdeen and Orkney,S00165685,0.98756
Aberdeen and Orkney,S00170755,0.98761
Aberdeen and Orkney,S00165816,0.98771
Aberdeen and Orkney,S00174881,0.98772
Aberdeen and Orkney,S00170741,0.98777
Aberdeen and Orkney,S00137110,0.98781
Aberdeen and Orkney,S00170667,0.98797
Aberdeen and Orkney,S00174737,0.98812
Aberdeen and Orkney,S00174758,0.98815
Aberdeen and Orkney,S00138105,0.98836
Aberdeen and Orkney,S00174878,0.98837
Aberdeen and Orkney,S00174701,0.98866
Aberdeen and Orkney,S00139028,0.98875
Aberdeen and Orkney,S00137987,0.98888
Aberdeen and Orkney,S00174875,0.98891
Aberdeen and Orkney,S00174849,0.98894
Aberdeen and Orkney,S00174719,0.98897
Aberdeen and Orkney,S00138088,0.98903
Aberdeen and Orkney,S00170620,0.98907
Aberdeen and Orkney,S00165656,0.98913
Aberdeen and Orkney,S00174705,0.98932
Aberdeen and Orkney,S00174723,0.98936
Aberdeen and Orkney,S00174765,0.98936
Aberdeen and Orkney,S00174874,0.98937
Aberdeen and Orkney,S00137598,0.99001
Aberdeen and Orkney,S00174743,0.99008
Aberdeen and Orkney,S00170784,0.99033
Aberdeen and Orkney,S00137991,0.99035
Aberdeen and Orkney,S00170773,0.99043
Aberdeen and Orkney,S00174864,0.99043
Aberdeen and Orkney,S00170645,0.99044
Aberdeen and Orkney,S00174835,0.99044
Aberdeen and Orkney,S00174846,0.99044
Aberdeen and Orkney,S00137105,0.99053
Aberdeen and Orkney,S00170778,0.99059
Aberdeen and Orkney,S00174876,0.9906
Aberdeen and Orkney,S00174852,0.99064
Aberdeen and Orkney,S00170662,0.99069
Aberdeen and Orkney,S00174710,0.99075
Aberdeen and Orkney,S00170636,0.99078
Aberdeen and Orkney,S00174816,0.99078
Aberdeen and Orkney,S00170785,0.99091
Aberdeen and Orkney,S00174772,0.99093
Aberdeen and Orkney,S00137458,0.991
Aberdeen and Orkney,S00174715,0.99101
Aberdeen and Orkney,S00174756,0.99103
Aberdeen and Orkney,S00170780,0.99111
Aberdeen and Orkney,S00165728,0.99116
Aberdeen and Orkney,S00137704,0.99126
Aberdeen and Orkney,S00174697,0.99128
Aberdeen and Orkney,S00174773,0.99136
Aberdeen and Orkney,S00170698,0.99149
Aberdeen and Orkney,S00174728,0.99152
Aberdeen and Orkney,S00170776,0.99153
Aberdeen and Orkney,S00137352,0.99157
Aberdeen and Orkney,S00174805,0.99173
Aberdeen and Orkney,S00174848,0.99174
Aberdeen and Orkney,S00174698,0.99196
Aberdeen and Orkney,S00174702,0.99201
Aberdeen and Orkney,S00170614,0.99203
Aberdeen and Orkney,S00170779,0.99229
Aberdeen and Orkney,S00136202,0.99233
Aberdeen and Orkney,S00170633,0.9924
Aberdeen and Orkney,S00170766,0.99242
Aberdeen and Orkney,S00136144,0.99244
Aberdeen and Orkney,S00137100,0.99246
Aberdeen and Orkney,S00174764,0.99249
Aberdeen and Orkney,S00174695,0.99252
Aberdeen and Orkney,S00138885,0.99255
Aberdeen and Orkney,S00138192,0.99262
Aberdeen and Orkney,S00137421,0.99286
Aberdeen and Orkney,S00174753,0.99292
Aberdeen and Orkney,S00174833,0.99299
Aberdeen and Orkney,S00165689,0.99306
Aberdeen and Orkney,S00174707,0.99307
Aberdeen and Orkney,S00170769,0.99351
Aberdeen and Orkney,S00174717,0.99351
Aberdeen and Orkney,S00174699,0.99363
Aberdeen and Orkney,S00170621,0.99365
Aberdeen and Orkney,S00174759,0.99392
Aberdeen and Orkney,S00170625,0.99393
Aberdeen and Orkney,S00137167,0.99395
